20mm_2slope,20mm_1slope1,20mm_1slope2,20mm_2slope_trimmed
-0.001308,-0.005072,-0.006547,-0.00733
-0.001295,-0.005099,-0.006535,-0.007355
-0.001308,-0.005073,-0.006573,-0.007342
-0.001309,-0.005073,-0.006574,-0.00733
-0.001309,-0.005085,-0.006573,-0.007355
-0.001308,-0.005086,-0.006561,-0.00733
-0.001309,-0.005085,-0.006562,-0.007343
-0.001322,-0.005085,-0.006573,-0.00733
-0.001296,-0.005073,-0.006547,-0.00733
-0.001295,-0.005085,-0.006547,-0.007342
-0.001309,-0.005073,-0.006562,-0.007343
-0.001297,-0.005086,-0.006548,-0.007343
-0.001309,-0.005073,-0.006573,-0.007343
-0.001296,-0.00506,-0.00656,-0.00733
-0.001297,-0.005099,-0.006573,-0.007343
-0.001295,-0.005072,-0.00656,-0.007343
-0.001296,-0.005086,-0.006562,-0.00733
-0.001309,-0.005074,-0.006574,-0.00733
-0.001295,-0.005059,-0.006547,-0.00733
-0.001295,-0.005098,-0.006559,-0.007355
-0.001308,-0.005087,-0.006573,-0.00733
-0.00131,-0.005085,-0.006561,-0.007355
-0.001322,-0.005086,-0.006559,-0.00733
-0.001309,-0.005073,-0.00656,-0.007343
-0.001296,-0.005085,-0.006559,-0.007355
-0.001308,-0.005059,-0.006573,-0.007355
-0.00131,-0.005086,-0.006561,-0.007342
-0.001309,-0.005072,-0.006573,-0.007343
-0.001295,-0.005073,-0.006574,-0.007343
-0.001297,-0.005099,-0.006561,-0.007356
-0.001309,-0.00506,-0.006574,-0.007343
-0.001297,-0.005086,-0.00656,-0.007343
-0.00131,-0.005086,-0.006573,-0.007342
-0.001295,-0.00506,-0.006574,-0.007343
-0.001297,-0.005099,-0.006574,-0.007343
-0.001322,-0.005073,-0.006574,-0.007343
-0.00131,-0.005086,-0.006561,-0.007343
-0.001296,-0.005087,-0.006559,-0.007343
-0.001309,-0.005073,-0.006574,-0.007343
-0.001296,-0.005085,-0.006548,-0.007343
-0.001308,-0.005086,-0.006562,-0.007343
-0.001296,-0.005086,-0.006561,-0.00733
-0.001309,-0.005086,-0.006559,-0.007343
-0.001309,-0.005073,-0.006548,-0.00733
-0.001296,-0.005085,-0.00656,-0.007356
-0.001308,-0.005072,-0.006559,-0.00733
-0.00131,-0.005085,-0.006547,-0.007343
-0.001322,-0.005086,-0.00656,-0.007343
-0.001309,-0.005072,-0.006562,-0.007343
-0.001297,-0.005098,-0.006535,-0.007356
-0.001308,-0.005073,-0.006574,-0.007343
-0.001297,-0.005086,-0.006561,-0.007343
-0.001296,-0.005073,-0.00656,-0.007343
-0.001297,-0.005073,-0.006547,-0.007343
-0.001297,-0.005085,-0.006547,-0.007356
-0.001295,-0.005086,-0.006574,-0.00733
-0.001297,-0.005072,-0.006562,-0.007343
-0.001309,-0.005073,-0.006559,-0.007343
-0.001295,-0.00506,-0.006561,-0.007343
-0.001297,-0.005086,-0.006561,-0.007343
-0.001309,-0.005073,-0.006573,-0.007343
-0.001296,-0.005086,-0.006547,-0.007343
-0.001309,-0.005073,-0.006559,-0.007343
-0.001295,-0.005073,-0.00656,-0.007343
-0.001297,-0.005086,-0.006547,-0.007369
-0.001309,-0.005086,-0.006573,-0.007356
-0.001309,-0.005073,-0.006561,-0.007343
-0.001308,-0.005072,-0.006559,-0.007343
-0.001296,-0.005073,-0.006561,-0.00733
-0.001297,-0.005085,-0.006547,-0.00733
-0.001309,-0.005086,-0.006573,-0.007343
-0.001295,-0.005072,-0.006574,-0.007343
-0.00131,-0.005085,-0.006574,-0.007343
-0.001295,-0.005073,-0.00656,-0.00733
-0.001296,-0.005085,-0.006574,-0.007356
-0.001322,-0.005086,-0.006573,-0.007357
-0.001297,-0.005072,-0.006548,-0.00733
-0.00131,-0.005086,-0.006547,-0.00733
