,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N),"Min Laminate Length (m, 2*r)"
87,4.399999999999998,8.799999999999986,0.15358897417550077,-0.10998524000000001,-0.0553182124479982,3.677011731303339,-0.5625307147396591,3.633727351785886,0.030088678791563347
88,3.519999999999998,7.039999999999995,0.1228711793404007,-0.08832124000000001,-0.044327717121509534,2.949605978409453,-0.3615103205005005,2.92736839431603,0.030056704146913096
89,4.399999999999998,8.799999999999986,0.15358897417550077,-0.10179224,-0.05119745847604296,3.4031044587041404,-0.5206267815767908,3.3630444111187403,0.030088678791563347
90,5.279999999999998,10.560000000000004,0.18430676901060128,-0.11245924,-0.05670985230300795,3.7646150431820087,-0.6899225053436148,3.70085576049279,0.030127835995190855
91,6.1599999999999975,12.319999999999997,0.21502456384570134,-0.12140924,-0.06141174078268299,4.070477115223867,-0.8685235087485685,3.9767387216552574,0.030174222354916975
92,7.039999999999997,14.07999999999999,0.2457423586808014,-0.12941024,-0.06569191124591944,4.346443245892269,-1.0573872732129928,4.215863024839602,0.03022789325870226
93,7.919999999999997,15.839999999999982,0.2764601535159015,-0.13844224,-0.07056079891476989,4.6591832994278475,-1.2717330995088272,4.482263261041349,0.030288913047672898
94,8.799999999999997,17.599999999999998,0.307177948351002,-0.14765624,-0.07559745314923483,4.98050325114333,-1.505954223930442,4.747369219902255,0.030357355205773873
95,9.679999999999996,19.359999999999992,0.33789574318610205,-0.15679923999999998,-0.08068069229270013,5.3021319054318425,-1.757670286074223,5.002319252911599,0.03043330257779731
96,10.559999999999995,21.119999999999983,0.3686135380212021,-0.16492524,-0.0853284698648128,5.592220463641536,-2.0150025694529887,5.21657879831878,0.030516847617001387
97,11.439999999999994,22.880000000000003,0.3993313328563026,-0.17610124,-0.09165632581117264,5.989025635683155,-2.3285473735595037,5.5178161616675085,0.03060809266371344
98,10.559999999999995,21.119999999999983,0.3686135380212021,-0.15914824,-0.08233958489845455,5.396336209548849,-1.9444210754152658,5.033852517502771,0.030516847617001387
99,11.439999999999994,22.880000000000003,0.3993313328563026,-0.17174624,-0.08938965637200424,5.840916476182629,-2.270962181019964,5.381360056167842,0.03060809266371344
100,12.319999999999993,24.639999999999993,0.4300491276914027,-0.18248424,-0.09559427553750144,6.226189974581662,-2.5957948405826157,5.659265919285457,0.030707150256501583
101,13.199999999999992,26.399999999999984,0.46076692252650275,-0.19133924,-0.10093266498269515,6.551060882527773,-2.9128321293541037,5.867862274524514,0.030814143477704812
102,14.079999999999991,28.15999999999998,0.4914847173616028,-0.20148924,-0.10708210634859602,6.924335864788412,-3.267839104486322,6.1047239704662415,0.030929206335333692
103,14.95999999999999,29.91999999999997,0.5222025121967029,-0.20784724,-0.11134339395637519,7.1713034807821625,-3.5769767108734576,6.215531451400376,0.03105248418359535
104,15.83999999999999,31.679999999999964,0.552920307031803,-0.21584224,-0.11660879712116867,7.478725972062146,-3.927637144959665,6.364354533079531,0.03118413418455966
105,16.719999999999988,33.43999999999998,0.5836381018669035,-0.22329324,-0.12172128692670957,7.771678001969663,-4.282687611598413,6.485180474571287,0.03132432581377159
106,17.599999999999987,35.199999999999974,0.6143558967020035,-0.23623523999999999,-0.1300035237786701,8.261209709735123,-4.762028247346999,6.750605368386687,0.03147324141293065
107,16.719999999999988,33.43999999999998,0.5836381018669035,-0.21728824,-0.11844785004167493,7.562675139178887,-4.167513775132748,6.310775245152785,0.03132432581377159
