,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N)
26,22.879999999999985,-46.12489511322024,-0.8050312868627358,-0.0818699,-0.04277388751495186,-4.473768951419716,-2.1747704955642266,-3.909601248504813
27,23.759999999999984,-47.81169417348087,-0.8344714842838301,-0.0850989,-0.04432706035244196,-4.674844565088589,-2.2870816831229384,-4.077183964755805
28,24.639999999999983,-49.50406106664603,-0.8640088587213093,-0.0879079,-0.04562648716989554,-4.856516048969839,-2.3892612717751076,-4.228141283010444
29,25.519999999999982,-51.203016157836714,-0.8936612189061073,-0.0909659,-0.04701597583091364,-5.055918496794131,-2.499270593901471,-4.394992416908636
30,26.39999999999998,-52.9096758964025,-0.9234480505553058,-0.0938119,-0.048251753323826856,-5.247917439519623,-2.604489930959627,-4.5560146676173146
31,27.27999999999998,-54.625268915014416,-0.9533907973543121,-0.0962239,-0.049216495475110277,-5.420213599561721,-2.6984726537816908,-4.700740452488972
32,28.15999999999998,-56.351155734015855,-0.9835132048626587,-0.09925490000000001,-0.05044357899477716,-5.632508593882951,-2.8106409371202523,-4.881132100522285
33,29.039999999999978,-58.08885308558126,-1.0138417450506605,-0.1017979,-0.05136140485346607,-5.822835450662734,-2.9098130968897773,-5.043649514653393
34,29.919999999999977,-59.840064231486686,-1.044406145444333,-0.1046879,-0.05238592572790315,-6.039303948360314,-3.0196402191469214,-5.230197427209685
35,30.799999999999976,-61.60671716225971,-1.0752400558263298,-0.1074029,-0.05324517572162174,-6.25276919274373,-3.125145050649115,-5.415772427837826
36,31.679999999999975,-63.39101331430708,-1.1063818985102216,-0.1103419,-0.0541274001329228,-6.487239368132126,-3.237834873242779,-5.62144998670772
37,32.559999999999974,-65.1954905549258,-1.1378759676363202,-0.1132559,-0.05489641842924051,-6.729308901839556,-3.3504189893651986,-5.83594815707595
38,33.439999999999976,-67.0231058779888,-1.1697738724836695,-0.1156559,-0.055304802774284845,-6.950722269306226,-3.4481865816037653,-6.035109722571515
39,34.31999999999998,-68.87734589321727,-1.202136465871636,-0.1185459,-0.05581987693305636,-7.21282622433055,-3.5608036234034386,-6.272602306694363
40,35.19999999999998,-70.76237742876917,-1.2350364726709413,-0.1210739,-0.056016610765585825,-7.465880444010735,-3.6626304726193304,-6.505728923441418
41,34.31999999999998,-68.87734589321727,-1.202136465871636,-0.11263190000000001,-0.05303514332200702,-6.852993836279248,-3.3831627886819686,-5.959675667799298
42,33.439999999999976,-67.0231058779888,-1.1697738724836695,-0.1071909,-0.05125697507604964,-6.44199021145464,-3.1958094922094857,-5.5933924923950356
43,32.559999999999974,-65.1954905549258,-1.1378759676363202,-0.1022759,-0.04957428797640704,-6.076911881090984,-3.025600586939984,-5.270161202359296
44,31.679999999999975,-63.39101331430708,-1.1063818985102216,-0.0977209,-0.047936262250779946,-5.745223433431023,-2.8674885774548944,-4.978463774922005
45,30.799999999999976,-61.60671716225971,-1.0752400558263298,-0.0931929,-0.0462005433420096,-5.425493111475083,-2.711671008796205,-4.69923566579904
46,29.919999999999977,-59.840064231486686,-1.044406145444333,-0.0894049,-0.04473829784636627,-5.157648262815082,-2.578814092448206,-4.466660215363372
47,29.039999999999978,-58.08885308558126,-1.0138417450506605,-0.0854719,-0.0431242379213615,-4.888988961024739,-2.4431471969073373,-4.23476620786385
48,28.15999999999998,-56.351155734015855,-0.9835132048626587,-0.0814869,-0.041413480615964615,-4.624211646365879,-2.3074973324140604,-4.007341938403538
49,27.27999999999998,-54.625268915014416,-0.9533907973543121,-0.0781059,-0.03994952058614768,-4.399641475621003,-2.190377185387491,-3.8156379413852317
50,26.39999999999998,-52.9096758964025,-0.9234480505553058,-0.0743869,-0.03826058686930097,-4.161266425494018,-2.0651956952721426,-3.6126313130699037
51,25.519999999999982,-51.203016157836714,-0.8936612189061073,-0.0708099,-0.036598291744372465,-3.935640533058462,-1.9454883734135953,-3.4211608255627532
52,24.639999999999983,-49.50406106664603,-0.8640088587213093,-0.0672599,-0.03490963797791162,-3.7158069275014705,-1.8280663536891062,-3.235026202208837
53,23.759999999999984,-47.81169417348087,-0.8344714842838301,-0.0634559,-0.03305346495687396,-3.4859025115225335,-1.7054136607650727,-3.0402435043126035
54,22.879999999999985,-46.12489511322024,-0.8050312868627358,-0.0594719,-0.03107179025381081,-3.249833451634096,-1.5797959132128676,-2.8400109746189193
55,21.999999999999986,-44.44272635189993,-0.7756719034035018,-0.056394900000000005,-0.029537589283418236,-3.0665136643883995,-1.4799846839108135,-2.685731071658177
56,21.119999999999987,-42.764322204625415,-0.7463782248544337,-0.053410900000000004,-0.02803062449238339,-2.8908884710462344,-1.3840709171147259,-2.538027550761661
57,20.239999999999988,-41.08887968419607,-0.7171362364450293,-0.0502859,-0.026431243811937667,-2.7100435905930413,-1.286036564179968,-2.3854656188062333
58,19.35999999999999,-39.41565084001509,-0.6879328839747321,-0.046909900000000004,-0.024684122726518074,-2.517953789979775,-1.183317174036299,-2.222577727348193
59,18.47999999999999,-37.743936321731844,-0.6587559614772984,-0.0437069,-0.023014926569136878,-2.3372437782666933,-1.0867984332022722,-2.069197343086312
60,17.59999999999999,-36.07307995881918,-0.6295940166165752,-0.0403859,-0.021273089260390513,-2.1521156950681264,-0.989245480796979,-1.911281073960949
61,16.71999999999999,-34.402464190756966,-0.6004362709281557,-0.0371699,-0.01957841596915047,-1.974304718576845,-0.8962566695531229,-1.7591484030849527
62,15.839999999999993,-32.731506216107086,-0.5712725526080593,-0.0343839,-0.018104203089131642,-1.8208091946350622,-0.8155126045440474,-1.627969691086836
63,14.959999999999994,-31.05965475498906,-0.5420932400072718,-0.031100899999999997,-0.01636424930989376,-1.6423405802524298,-0.7249785141104541,-1.4736650690106237
64,14.079999999999995,-29.38638734009589,-0.512889214351052,-0.0280499,-0.014744209323083091,-1.4773801608722255,-0.6420577044479002,-1.330569067691691
65,13.199999999999996,-27.711208067746703,-0.48365182048739586,-0.0249179,-0.013081087700676433,-1.3092675096556552,-0.5595356626219141,-1.1836812299323567
66,12.319999999999997,-26.033645753527924,-0.4543728346969025,-0.0219679,-0.011514500054563689,-1.151709035937801,-0.4834232092776485,-1.0453399945436308
67,11.439999999999998,-24.353252447563833,-0.4250444387793566,-0.0190619,-0.009973213559616967,-0.9973216014180678,-0.41061924521273385,-0.9088686440383033
68,10.559999999999999,-22.669602272922244,-0.39565919978008335,-0.016128899999999998,-0.008421326523054887,-0.8422920026556884,-0.33968945923100535,-0.770757347694511
69,9.68,-20.982290557521125,-0.36621005483886027,-0.013321900000000001,-0.006939835969481607,-0.6945186403580366,-0.2739502307142831,-0.6382064030518394
70,8.8,-19.290933235470327,-0.33669030074135975,-0.0105299,-0.0054716830132271925,-0.5481126537088659,-0.2111205586933808,-0.5058216986772808
71,7.920000000000001,-17.595166498294976,-0.3070935878318486,-0.0078539,-0.004070126696128981,-0.4082481397095447,-0.15328776671813651,-0.3783773303871019
72,7.040000000000001,-15.894646680133963,-0.27741391800952364,-0.0052429,-0.002709181510832437,-0.2721866125918477,-0.09943972169474828,-0.2533718489167563
73,6.160000000000001,-14.189050363914173,-0.24764564658160193,-0.0026138999999999997,-0.0013465530019206857,-0.13555061278602248,-0.04808621934878764,-0.1267346998079314
74,5.280000000000001,-12.47807469778556,-0.21778348778615442,-0.0006569000000000001,-0.0003373119017162781,-0.03403206331753955,-0.011696828972117265,-0.031958809828372195
75,4.400000000000001,-10.76143791282871,-0.1878225238278075,0.0003361,0.00017200255412962986,0.017397692590132224,0.005779272449794277,0.016409744587037013
76,3.5200000000000014,-9.038880034281084,-0.15775821729098283,0.0027041,0.0013790036755360268,0.13987379081319934,0.04478699214476601,0.13250963244639732
77,2.6400000000000015,-7.3101637793049905,-0.1275864268089042,0.0053351,0.002710879942892956,0.27580487674866727,0.08487061303607138,0.2624220057107044
78,1.7600000000000016,-5.575075634669077,-0.09730342587268792,0.0078201,0.003958771970690255,0.4040843699664386,0.11910346994039621,0.38613280293097446
79,0.8800000000000017,-3.8334271076518065,-0.06690592466372713,0.010362099999999999,0.005225631118135906,0.5352565996363531,0.15055398271281162,0.5136468881864092
80,1.7763568394002505e-15,-2.085056143015616,-0.036391094784556266,0.0132931,0.006677740807081068,0.6865133788914434,0.1834961767546568,0.6615359192918933
81,-0.8799999999999981,-0.3298286980415893,-0.005756596748391907,0.015328099999999999,0.00766974555800283,0.7915414291075251,0.20008474804693538,0.7658354441997168
82,-1.759999999999998,1.4323595336299044,0.024999389934172278,0.0176321,0.008787612130434622,0.9105556774192198,0.21647629184620387,0.884448786956538
83,-2.639999999999998,3.2015812602379166,0.05587813426130106,0.0203001,0.010077023544717368,1.048511218617994,0.23294388479255979,1.0223076455282634
84,-3.519999999999998,4.977875605116675,0.08688031906399107,0.023559100000000003,0.011648276028232873,1.2172012825245206,0.25080208395289144,1.1910823971767128
