,Servo Displacement (deg),Spring Displacement (deg),Spring Displacement (rad),Tz (Nm),Spring Moment (Nm),Force (N),Fx (N),Fy (N)
34,29.919999999999977,-59.840064231486686,-1.044406145444333,-0.05555578,-0.027800165681379864,-3.20493812091213,-1.6024628222944404,-2.7755614318620134
35,30.799999999999976,-61.60671716225971,-1.0752400558263298,-0.05722878,-0.028371267884144954,-3.331738272637969,-1.6652086542513012,-2.885751211585505
36,31.679999999999975,-63.39101331430708,-1.1063818985102216,-0.05896878,-0.028926697387033348,-3.4669023381573303,-1.730359657723687,-3.004208261296665
37,32.559999999999974,-65.1954905549258,-1.1378759676363202,-0.06073678,-0.02943980568716266,-3.608788189604875,-1.7967599133016154,-3.129697431283734
38,33.439999999999976,-67.0231058779888,-1.1697738724836695,-0.06239878,-0.029838099234505026,-3.7500602193536166,-1.8603688692444174,-3.2560680765494974
39,34.31999999999998,-68.87734589321727,-1.202136465871636,-0.06395078,-0.03011259494738293,-3.891031769554187,-1.9209113865892973,-3.383818505261707
40,35.19999999999998,-70.76237742876917,-1.2350364726709413,-0.06553178,-0.030319236540955582,-4.040940572354684,-1.9824148255981342,-3.5212543459044414
41,34.31999999999998,-68.87734589321727,-1.202136465871636,-0.06369678,-0.029992993605278337,-3.8755773518056187,-1.9132819019732583,-3.3703786394721655
42,33.439999999999976,-67.0231058779888,-1.1697738724836695,-0.06048678,-0.02892381139528167,-3.635152281419507,-1.8033641445046813,-3.156296860471832
43,32.559999999999974,-65.1954905549258,-1.1378759676363202,-0.057446779999999996,-0.027845105396650634,-3.4133067507831254,-1.699432723503896,-2.960167460334936
44,31.679999999999975,-63.39101331430708,-1.1063818985102216,-0.05470078,-0.026833061662369238,-3.2159773710941577,-1.6051209293802366,-2.786771833763076
45,30.799999999999976,-61.60671716225971,-1.0752400558263298,-0.05217778,-0.025867225790589643,-3.0376797584586632,-1.5182376911690316,-2.6310554209410357
46,29.919999999999977,-59.840064231486686,-1.044406145444333,-0.04968178,-0.024860810438551387,-2.8660749725189687,-1.4330319076684999,-2.4820969561448614
47,29.039999999999978,-58.08885308558126,-1.0138417450506605,-0.04734778,-0.023888984915139147,-2.7082909558466337,-1.3533991403816374,-2.3458795084860853
48,28.15999999999998,-56.351155734015855,-0.9835132048626587,-0.04500978,-0.022874985446235306,-2.5542111538954853,-1.2745600493152116,-2.2134794553764694
49,27.27999999999998,-54.625268915014416,-0.9533907973543121,-0.04276878,-0.021875328970723355,-2.4091304030772323,-1.1993941553564684,-2.089345102927664
50,26.39999999999998,-52.9096758964025,-0.9234480505553058,-0.04081678,-0.0209939378696403,-2.28332537329524,-1.1331919780347086,-1.9822842130359692
51,25.519999999999982,-51.203016157836714,-0.8936612189061073,-0.038705779999999995,-0.020005188944391912,-2.1512816234967644,-1.063433855631832,-1.8700591055608082
52,24.639999999999983,-49.50406106664603,-0.8640088587213093,-0.03658578,-0.018988971659778253,-2.0211997753794573,-0.9943700992935142,-1.7596808340221743
53,23.759999999999984,-47.81169417348087,-0.8344714842838301,-0.03458078,-0.01801273955473593,-1.8996693428413782,-0.9293782707661797,-1.6568040445264067
54,22.879999999999985,-46.12489511322024,-0.8050312868627358,-0.032482779999999996,-0.016971008611137036,-1.7750168574750589,-0.8628640264358909,-1.551177138886296
55,21.999999999999986,-44.44272635189993,-0.7756719034035018,-0.03050278,-0.015976242313444373,-1.658610826011451,-0.8004916617761727,-1.4526537686555627
56,21.119999999999987,-42.764322204625415,-0.7463782248544337,-0.02851078,-0.014962769175673027,-1.543158516380281,-0.738818133045056,-1.3548010824326973
57,20.239999999999988,-41.08887968419607,-0.7171362364450293,-0.026676779999999997,-0.014021832686646203,-1.4376840557027046,-0.6822452117707924,-1.2654947313353793
58,19.35999999999999,-39.41565084001509,-0.6879328839747321,-0.02480278,-0.01305129334061313,-1.3313235351820099,-0.6256580282167312,-1.1751486659386872
59,18.47999999999999,-37.743936321731844,-0.6587559614772984,-0.02291778,-0.012067912019100733,-1.2255373571835302,-0.5698644240720426,-1.0849867980899266
60,17.59999999999999,-36.07307995881918,-0.6295940166165752,-0.021157779999999998,-0.011144764447287422,-1.1274724696193101,-0.5182560806790664,-1.0013015552712576
61,16.71999999999999,-34.402464190756966,-0.6004362709281557,-0.019374779999999998,-0.010205233324565768,-1.0291047211692332,-0.46717305658945685,-0.9169546675434229
62,15.839999999999993,-32.731506216107086,-0.5712725526080593,-0.01772178,-0.009331073677532546,-0.9384618955179531,-0.42032273723913244,-0.8390706322467452
63,14.959999999999994,-31.05965475498906,-0.5420932400072718,-0.016238779999999998,-0.008544300788996992,-0.857518829609161,-0.37853459531288686,-0.7694479211003006
64,14.079999999999995,-29.38638734009589,-0.512889214351052,-0.01460878,-0.0076789903092299725,-0.7694402385230232,-0.33439262712467405,-0.6929789690770028
65,13.199999999999996,-27.711208067746703,-0.48365182048739586,-0.01307578,-0.006864359554165917,-0.6870440092224956,-0.2936188533784297,-0.6211420445834084
66,12.319999999999997,-26.033645753527924,-0.4543728346969025,-0.01148278,-0.0060187123455834575,-0.6020066316619188,-0.25268880316412573,-0.5464067654416542
67,11.439999999999998,-24.353252447563833,-0.4250444387793566,-0.010035780000000001,-0.005250734563570933,-0.5250735855858765,-0.21618434724350935,-0.4785045436429068
68,10.559999999999999,-22.669602272922244,-0.39565919978008335,-0.00881078,-0.004600341951577699,-0.4601212439260388,-0.18556312542103665,-0.4210438048422301
