n,t,x,y,z,,,,,,,,,,,,,,,,,,,,,,,,
107,0.5,0.20492,0.066321,0.342604,,,,,,,,,,,,,,,,,,,,,,,,
108,0.504673,0.20491,0.066325,0.342599,,,,,,,,,,,,,,,,,,,,,,,,
109,0.509346,0.20492,0.066321,0.342606,,,,,,,,,,,,,,,,,,,,,,,,
110,0.514019,0.20493,0.066295,0.342619,,,,,,,,,,,,,,,,,,,,,,,,
111,0.518692,0.204936,0.066292,0.342617,,,,,,,,,,,,,,,,,,,,,,,,
112,0.523364,0.204952,0.066259,0.342631,,,,,,,,,,,,,,,,,,,,,,,,
113,0.528037,0.204961,0.06625,0.342631,,,,,,,,,,,,,,,,,,,,,,,,
114,0.53271,0.204971,0.066232,0.34264,,,,,,,,,,,,,,,,,,,,,,,,
115,0.537383,0.204974,0.066217,0.342644,,,,,,,,,,,,,,,,,,,,,,,,
116,0.542056,0.205003,0.066172,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
117,0.546729,0.204995,0.066188,0.342665,,,,,,,,,,,,,,,,,,,,,,,,
118,0.551402,0.205008,0.066162,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
119,0.556075,0.205011,0.066156,0.342679,,,,,,,,,,,,,,,,,,,,,,,,
120,0.560748,0.205023,0.066136,0.342692,,,,,,,,,,,,,,,,,,,,,,,,
121,0.565421,0.205016,0.066134,0.342692,,,,,,,,,,,,,,,,,,,,,,,,
122,0.570093,0.205018,0.066123,0.3427,,,,,,,,,,,,,,,,,,,,,,,,
123,0.574766,0.205013,0.066118,0.342702,,,,,,,,,,,,,,,,,,,,,,,,
124,0.579439,0.205011,0.066125,0.342703,,,,,,,,,,,,,,,,,,,,,,,,
125,0.584112,0.205019,0.066115,0.342702,,,,,,,,,,,,,,,,,,,,,,,,
126,0.588785,0.205008,0.066125,0.342698,,,,,,,,,,,,,,,,,,,,,,,,
127,0.593458,0.205007,0.066124,0.342695,,,,,,,,,,,,,,,,,,,,,,,,
128,0.598131,0.205002,0.066144,0.342687,,,,,,,,,,,,,,,,,,,,,,,,
129,0.602804,0.204988,0.066168,0.342675,,,,,,,,,,,,,,,,,,,,,,,,
130,0.607477,0.204983,0.066183,0.342669,,,,,,,,,,,,,,,,,,,,,,,,
131,0.61215,0.204975,0.06619,0.342667,,,,,,,,,,,,,,,,,,,,,,,,
132,0.616822,0.204982,0.066182,0.342669,,,,,,,,,,,,,,,,,,,,,,,,
133,0.621495,0.204976,0.066196,0.342663,,,,,,,,,,,,,,,,,,,,,,,,
134,0.626168,0.204976,0.066187,0.342664,,,,,,,,,,,,,,,,,,,,,,,,
135,0.630841,0.204982,0.066182,0.34267,,,,,,,,,,,,,,,,,,,,,,,,
136,0.635514,0.204983,0.066181,0.34267,,,,,,,,,,,,,,,,,,,,,,,,
137,0.640187,0.204987,0.066171,0.342675,,,,,,,,,,,,,,,,,,,,,,,,
138,0.64486,0.204981,0.066175,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
139,0.649533,0.204981,0.066174,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
140,0.654206,0.204994,0.066167,0.342671,,,,,,,,,,,,,,,,,,,,,,,,
141,0.658879,0.204982,0.066177,0.342671,,,,,,,,,,,,,,,,,,,,,,,,
142,0.663551,0.20499,0.066167,0.342669,,,,,,,,,,,,,,,,,,,,,,,,
143,0.668224,0.20499,0.066168,0.342677,,,,,,,,,,,,,,,,,,,,,,,,
144,0.672897,0.204991,0.06617,0.342674,,,,,,,,,,,,,,,,,,,,,,,,
145,0.67757,0.205003,0.066151,0.342683,,,,,,,,,,,,,,,,,,,,,,,,
146,0.682243,0.204996,0.066154,0.342686,,,,,,,,,,,,,,,,,,,,,,,,
147,0.686916,0.204993,0.066162,0.342678,,,,,,,,,,,,,,,,,,,,,,,,
148,0.691589,0.205,0.06616,0.342678,,,,,,,,,,,,,,,,,,,,,,,,
149,0.696262,0.204998,0.066162,0.34268,,,,,,,,,,,,,,,,,,,,,,,,
150,0.700935,0.204992,0.066177,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
151,0.705607,0.204983,0.066184,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
152,0.71028,0.204977,0.066202,0.342663,,,,,,,,,,,,,,,,,,,,,,,,
153,0.714953,0.204968,0.066222,0.342654,,,,,,,,,,,,,,,,,,,,,,,,
154,0.719626,0.204955,0.066245,0.342636,,,,,,,,,,,,,,,,,,,,,,,,
155,0.724299,0.204959,0.066241,0.342636,,,,,,,,,,,,,,,,,,,,,,,,
156,0.728972,0.204946,0.066266,0.34262,,,,,,,,,,,,,,,,,,,,,,,,
157,0.733645,0.204945,0.066265,0.342626,,,,,,,,,,,,,,,,,,,,,,,,
158,0.738318,0.204937,0.066278,0.342621,,,,,,,,,,,,,,,,,,,,,,,,
159,0.742991,0.204942,0.066273,0.342621,,,,,,,,,,,,,,,,,,,,,,,,
160,0.747664,0.204929,0.066296,0.342612,,,,,,,,,,,,,,,,,,,,,,,,
161,0.752336,0.204931,0.066284,0.342625,,,,,,,,,,,,,,,,,,,,,,,,
162,0.757009,0.204939,0.066278,0.342624,,,,,,,,,,,,,,,,,,,,,,,,
163,0.761682,0.204941,0.066266,0.342629,,,,,,,,,,,,,,,,,,,,,,,,
164,0.766355,0.204943,0.066264,0.342628,,,,,,,,,,,,,,,,,,,,,,,,
165,0.771028,0.204958,0.066237,0.342638,,,,,,,,,,,,,,,,,,,,,,,,
166,0.775701,0.204959,0.066236,0.342646,,,,,,,,,,,,,,,,,,,,,,,,
167,0.780374,0.204963,0.066221,0.342652,,,,,,,,,,,,,,,,,,,,,,,,
168,0.785047,0.204976,0.066202,0.342663,,,,,,,,,,,,,,,,,,,,,,,,
169,0.78972,0.20497,0.066212,0.342656,,,,,,,,,,,,,,,,,,,,,,,,
170,0.794393,0.204984,0.066188,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
171,0.799065,0.204984,0.066183,0.342678,,,,,,,,,,,,,,,,,,,,,,,,
172,0.803738,0.204987,0.06617,0.342678,,,,,,,,,,,,,,,,,,,,,,,,
173,0.808411,0.204988,0.06617,0.342681,,,,,,,,,,,,,,,,,,,,,,,,
174,0.813084,0.204997,0.06615,0.342694,,,,,,,,,,,,,,,,,,,,,,,,
175,0.817757,0.204997,0.066143,0.342696,,,,,,,,,,,,,,,,,,,,,,,,
176,0.82243,0.205006,0.066132,0.3427,,,,,,,,,,,,,,,,,,,,,,,,
177,0.827103,0.205008,0.066131,0.342703,,,,,,,,,,,,,,,,,,,,,,,,
178,0.831776,0.205006,0.066126,0.342695,,,,,,,,,,,,,,,,,,,,,,,,
179,0.836449,0.205002,0.066143,0.342684,,,,,,,,,,,,,,,,,,,,,,,,
180,0.841121,0.205001,0.066152,0.342681,,,,,,,,,,,,,,,,,,,,,,,,
181,0.845794,0.205,0.066152,0.342683,,,,,,,,,,,,,,,,,,,,,,,,
182,0.850467,0.204999,0.066154,0.34268,,,,,,,,,,,,,,,,,,,,,,,,
183,0.85514,0.204999,0.066155,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
184,0.859813,0.204997,0.066167,0.342674,,,,,,,,,,,,,,,,,,,,,,,,
185,0.864486,0.204982,0.06618,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
186,0.869159,0.204988,0.066171,0.342675,,,,,,,,,,,,,,,,,,,,,,,,
187,0.873832,0.204992,0.066162,0.34268,,,,,,,,,,,,,,,,,,,,,,,,
188,0.878505,0.204993,0.066161,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
189,0.883178,0.204981,0.066174,0.342673,,,,,,,,,,,,,,,,,,,,,,,,
190,0.88785,0.204998,0.066149,0.342688,,,,,,,,,,,,,,,,,,,,,,,,
191,0.892523,0.204986,0.066165,0.342677,,,,,,,,,,,,,,,,,,,,,,,,
192,0.897196,0.204994,0.066159,0.342677,,,,,,,,,,,,,,,,,,,,,,,,
193,0.901869,0.204989,0.066176,0.342668,,,,,,,,,,,,,,,,,,,,,,,,
194,0.906542,0.204993,0.066164,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
195,0.911215,0.204999,0.066164,0.342675,,,,,,,,,,,,,,,,,,,,,,,,
196,0.915888,0.204991,0.066173,0.342672,,,,,,,,,,,,,,,,,,,,,,,,
197,0.920561,0.204992,0.066177,0.34267,,,,,,,,,,,,,,,,,,,,,,,,
198,0.925234,0.204988,0.066172,0.34267,,,,,,,,,,,,,,,,,,,,,,,,
199,0.929907,0.205,0.066159,0.342681,,,,,,,,,,,,,,,,,,,,,,,,
200,0.934579,0.204992,0.066165,0.342676,,,,,,,,,,,,,,,,,,,,,,,,
201,0.939252,0.204983,0.066179,0.342665,,,,,,,,,,,,,,,,,,,,,,,,
202,0.943925,0.204967,0.066208,0.342656,,,,,,,,,,,,,,,,,,,,,,,,
203,0.948598,0.204969,0.066216,0.342657,,,,,,,,,,,,,,,,,,,,,,,,
204,0.953271,0.20496,0.066227,0.342651,,,,,,,,,,,,,,,,,,,,,,,,
205,0.957944,0.204952,0.066238,0.342647,,,,,,,,,,,,,,,,,,,,,,,,
206,0.962617,0.204948,0.066258,0.342642,,,,,,,,,,,,,,,,,,,,,,,,
207,0.96729,0.204941,0.066272,0.342624,,,,,,,,,,,,,,,,,,,,,,,,
208,0.971963,0.204932,0.066288,0.342618,,,,,,,,,,,,,,,,,,,,,,,,
209,0.976636,0.204932,0.066287,0.342619,,,,,,,,,,,,,,,,,,,,,,,,
210,0.981308,0.204937,0.066279,0.342626,,,,,,,,,,,,,,,,,,,,,,,,
211,0.985981,0.204937,0.066276,0.342618,,,,,,,,,,,,,,,,,,,,,,,,
212,0.990654,0.204933,0.066277,0.342625,,,,,,,,,,,,,,,,,,,,,,,,
213,0.995327,0.204941,0.066265,0.342631,,,,,,,,,,,,,,,,,,,,,,,,
214,1,0.204936,0.066261,0.34263,,,,,,,,,,,,,,,,,,,,,,,,
215,1.004673,0.204936,0.06626,0.342634,,,,,,,,,,,,,,,,,,,,,,,,
216,1.009346,0.204936,0.066247,0.342641,,,,,,,,,,,,,,,,,,,,,,,,
217,1.014019,0.204954,0.066239,0.342645,,,,,,,,,,,,,,,,,,,,,,,,
218,1.018692,0.204948,0.066241,0.342646,,,,,,,,,,,,,,,,,,,,,,,,
219,1.023364,0.20495,0.066242,0.342648,,,,,,,,,,,,,,,,,,,,,,,,
220,1.028037,0.204966,0.066218,0.342654,,,,,,,,,,,,,,,,,,,,,,,,
221,1.03271,0.204988,0.066186,0.342671,,,,,,,,,,,,,,,,,,,,,,,,
222,1.037383,0.204985,0.066181,0.342669,,,,,,,,,,,,,,,,,,,,,,,,
223,1.042056,0.205003,0.066147,0.342685,,,,,,,,,,,,,,,,,,,,,,,,
224,1.046729,0.205012,0.066128,0.342692,,,,,,,,,,,,,,,,,,,,,,,,
225,1.051402,0.205014,0.066122,0.342696,,,,,,,,,,,,,,,,,,,,,,,,
226,1.056075,0.205034,0.066093,0.342713,,,,,,,,,,,,,,,,,,,,,,,,
227,1.060748,0.205022,0.066106,0.342706,,,,,,,,,,,,,,,,,,,,,,,,
228,1.065421,0.205027,0.06611,0.342706,,,,,,,,,,,,,,,,,,,,,,,,
229,1.070093,0.205016,0.06612,0.342702,,,,,,,,,,,,,,,,,,,,,,,,
